topic_id,topic_slug,topic_name,instrument_code,instrument_name,proposed_importance_weight,proposed_status,structural_relevance,market_recognition,topic_sensitivity_participation,scale_influence,durability,rationale,evidence_types,evidence_summary,source_count,source_urls,source_publication_dates,confidence_level,ambiguity_notes,membership_review_needed,researched_at,leader_set_research_version
,RISC-V,RISC-V,2388,威盛,0.50,NEEDS_REVIEW,LOW,LOW,NOT_USED_FOR_IDENTITY,MEDIUM_HIGH,LOW,"VIA has durable fabless/embedded and edge-computing capabilities, but the reviewed official materials did not establish a direct RISC-V product or platform claim; this row is retained only as a flagged membership candidate.",official company product/IR; annual report or regulatory/industry source,"VIA has durable fabless/embedded and edge-computing capabilities, but the reviewed official materials did not establish a direct RISC-V product or platform claim; this row is retained only as a flagged membership candidate.",2,https://www.viatech.com/tw/company-overview-tw/investor-relations/ir-faq/|https://www.viatech.com/tw/company-overview-tw/,current investor FAQ; current company overview,LOW,Do not promote. Direct RISC-V evidence is missing; possible classification debt or topic-adjacent membership requires PM review.,true,2026-08-09,leader-set-research.v2
,RISC-V,RISC-V,3035,智原,1.00,CANDIDATE,HIGH,HIGH,NOT_USED_FOR_IDENTITY,MEDIUM_HIGH,HIGH,"Faraday's official release states that its RISC-V based ASIC platform achieved design and mass production for edge-AI and IoT SoCs, covering core-IP integration, verification and system-level design services.",official company product/IR; annual report or regulatory/industry source,"Faraday's official release states that its RISC-V based ASIC platform achieved design and mass production for edge-AI and IoT SoCs, covering core-IP integration, verification and system-level design services.",3,https://www.faraday-tech.com/html/News/pressRelease/ENG_01_0338.jsp|https://www.faraday-tech.com/en/content/Product/ASIC_Service/22RRAM|https://www.faraday-tech.com/resources/PDFFile/CSR/Faraday_CSR_Report_2020_en.pdf,2019-04-09 official release; current product page; 2020 CSR report,HIGH,Direct RISC-V evidence is older but describes mass production and a durable ASIC-service capability; refresh with the latest IR material before final approval.,false,2026-08-09,leader-set-research.v2
,Retimer／Redriver,Retimer／Redriver,4966,譜瑞-KY,0.75,NEEDS_REVIEW,HIGH,MEDIUM_HIGH,NOT_USED_FOR_IDENTITY,MEDIUM_HIGH,HIGH,"Parade's official release documents a 16-channel PCI Express redriver, providing direct product evidence for the supplied Retimer/Redriver topic; the source is older and current product continuity needs refresh.",official company product/IR; annual report or regulatory/industry source,"Parade's official release documents a 16-channel PCI Express redriver, providing direct product evidence for the supplied Retimer/Redriver topic; the source is older and current product continuity needs refresh.",2,https://www.paradetech.com/parade-technologies-introduces-16-channel-8gbs-pci-express-redriver/|https://www.paradetech.com/news/,official product release; current news index,MEDIUM,Keep NEEDS_REVIEW until a current retimer/redriver product or annual-report disclosure confirms ongoing materiality; do not infer from broader high-speed-transmission membership.,true,2026-08-09,leader-set-research.v2
,SiC 晶圓／基板,SiC 晶圓／基板,3016,嘉晶,1.00,CANDIDATE,HIGH,HIGH,NOT_USED_FOR_IDENTITY,MEDIUM_HIGH,HIGH,嘉晶 directly manufactures SiC epitaxial wafers and describes SiC epitaxy as a core product/material used in power devices; its public prospectus documents expansion of SiC epitaxial capacity.,official company product/IR; annual report or regulatory/industry source,嘉晶 directly manufactures SiC epitaxial wafers and describes SiC epitaxy as a core product/material used in power devices; its public prospectus documents expansion of SiC epitaxial capacity.,3,https://www.epi.episil.com/Default/Company_Profile|https://www.epi.episil.com/uploads/03_investment/Financial_Statements/2024-Prospectus.pdf|https://www.epi.episil.com/uploads/05_EHS/2024%E5%B9%B4%E6%B0%B8%E7%BA%8C%E5%A0%B1%E5%91%8A%E6%9B%B8.pdf,current company profile; 2024 prospectus; 2024 sustainability report,HIGH,The company is an epitaxy/material supplier rather than a finished substrate wafer producer in the narrowest sense; PM should confirm the topic boundary.,true,2026-08-09,leader-set-research.v2
,SiC 晶圓／基板,SiC 晶圓／基板,3707,漢磊,0.75,NEEDS_REVIEW,MEDIUM_HIGH,HIGH,NOT_USED_FOR_IDENTITY,MEDIUM_HIGH,HIGH,"Episil officially identifies SiC and GaN discrete-device foundry services and a 6-inch SiC production line, but the evidence is stronger for foundry/device manufacturing than for standalone SiC wafer/substrate leadership.",official company product/IR; annual report or regulatory/industry source,"Episil officially identifies SiC and GaN discrete-device foundry services and a 6-inch SiC production line, but the evidence is stronger for foundry/device manufacturing than for standalone SiC wafer/substrate leadership.",3,https://www.episil.com/en-US/about/about_overview|https://www.episil.com/en-US/about/about_milesstone|https://www.episil.com/zh-tw,current company overview; current milestone page; current company site,MEDIUM,Keep NEEDS_REVIEW because the label says wafer/substrate while the direct identity is compound-power foundry and device manufacturing.,false,2026-08-09,leader-set-research.v2
,SiC／GaN 功率元件,SiC／GaN 功率元件,3707,漢磊,1.00,CANDIDATE,HIGH,HIGH,NOT_USED_FOR_IDENTITY,HIGH,HIGH,"Episil's official company overview explicitly lists SiC and GaN discrete-device manufacturing, high-power MOSFET, FRD and TVS services; its milestone page records SiC MOSFET platform development and GaN supply-chain progress.",official company product/IR; annual report or regulatory/industry source,"Episil's official company overview explicitly lists SiC and GaN discrete-device manufacturing, high-power MOSFET, FRD and TVS services; its milestone page records SiC MOSFET platform development and GaN supply-chain progress.",2,https://www.episil.com/en-US/about/about_overview|https://www.episil.com/en-US/about/about_milesstone,current company overview; current milestone page,HIGH,Direct foundry/device fit; keep separate from 3016's upstream epitaxy/material role.,false,2026-08-09,leader-set-research.v2
,SiC／GaN 功率元件,SiC／GaN 功率元件,8255,朋程,0.75,CANDIDATE,HIGH,HIGH,NOT_USED_FOR_IDENTITY,MEDIUM_HIGH,HIGH,"Actron's official power-module materials list automotive SiC MOSFET, SiC diode, Si IGBT and GaN/SiC power-module products, providing direct packaged-device evidence.",official company product/IR; annual report or regulatory/industry source,"Actron's official power-module materials list automotive SiC MOSFET, SiC diode, Si IGBT and GaN/SiC power-module products, providing direct packaged-device evidence.",3,https://www.actron.com.tw/en/about|https://www.actron.com.tw/en/products/power_module|https://www.actron.com.tw/upfiles/pro01651204662.pdf,current company profile; current power-module page; current e-mobility brochure,HIGH,The supplied topic spans devices and modules; 0.75 reflects strong automotive/module fit while Episil remains the broader compound-power foundry anchor.,false,2026-08-09,leader-set-research.v2
,一般封測,一般封測,2449,京元電子,0.75,CANDIDATE,HIGH,HIGH,NOT_USED_FOR_IDENTITY,HIGH,HIGH,"KYEC's official company profile identifies wafer probing, final-product test, burn-in and backend turnkey services as its core business, and describes it as a large pure-play professional testing company with broad product coverage.",official company product/IR; annual report or regulatory/industry source,"KYEC's official company profile identifies wafer probing, final-product test, burn-in and backend turnkey services as its core business, and describes it as a large pure-play professional testing company with broad product coverage.",2,https://www.kyec.com.tw/en/About/company-profile|https://www.kyec.com.tw/en/Service/equipment-developing-capablity,current company profile; current service-capability page,HIGH,KYEC is testing-heavy rather than a full packaging leader; 0.75 preserves role separation from ASE's broader assembly/test platform.,false,2026-08-09,leader-set-research.v2
,一般封測,一般封測,3711,日月光投控,1.00,CANDIDATE,HIGH,HIGH,NOT_USED_FOR_IDENTITY,HIGH,HIGH,"ASE officially describes itself as a leading global provider of semiconductor packaging and test services, with broad assembly, wafer-probe, final-test and advanced-packaging capabilities; its 3711 identity is a durable OSAT anchor.",official company product/IR; annual report or regulatory/industry source,"ASE officially describes itself as a leading global provider of semiconductor packaging and test services, with broad assembly, wafer-probe, final-test and advanced-packaging capabilities; its 3711 identity is a durable OSAT anchor.",3,https://ase.aseglobal.com/about-ase/|https://ase.aseglobal.com/press-room/asem-launch-p5/|https://ase.aseglobal.com/test-services/,current company page; 2025-02-18 facility release; current service page,HIGH,ASE also has EMS and substrate exposure; this row is limited to the supplied 一般封測 membership and does not imply all group revenue is OSAT.,true,2026-08-09,leader-set-research.v2
,一般封測,一般封測,6239,力成,0.75,CANDIDATE,HIGH,HIGH,NOT_USED_FOR_IDENTITY,HIGH,HIGH,"PTI's official profile identifies it as a leading OSAT and a major memory packaging/testing provider, covering bumping, probing, assembly, final test, burn-in and system-level assembly.",official company product/IR; annual report or regulatory/industry source,"PTI's official profile identifies it as a leading OSAT and a major memory packaging/testing provider, covering bumping, probing, assembly, final test, burn-in and system-level assembly.",2,https://www.pti.com.tw/en/about/about|https://www.pti.com.tw/Handlers/CompanyAnnualReportDownload.ashx?id=42036d35-476d-4edd-85f0-493087790c67&lang=en,current company profile; latest available annual-report page,HIGH,Memory packaging is especially prominent; PM should confirm whether the general OSAT topic is intended to include this specialization at 0.75.,false,2026-08-09,leader-set-research.v2
,一般封測,一般封測,8150,南茂,0.75,CANDIDATE,HIGH,HIGH,NOT_USED_FOR_IDENTITY,MEDIUM_HIGH,HIGH,"ChipMOS's official company profile identifies TWSE 8150 as an industry-leading OSAT provider with memory, LCD-driver and mixed-signal assembly/test services, including bumping and package assembly.",official company product/IR; annual report or regulatory/industry source,"ChipMOS's official company profile identifies TWSE 8150 as an industry-leading OSAT provider with memory, LCD-driver and mixed-signal assembly/test services, including bumping and package assembly.",2,https://www.chipmos.com/ENGLISH/ir/company.aspx|https://www.chipmos.com/ENGLISH/news/news-detail.aspx?NID=226,current company profile; 2026-02-10 operating release,HIGH,The supplied stock name is 南茂; the company is structurally relevant to general封測 but product mix is concentrated in memory/LCDD and should not be generalized to advanced packaging leadership.,false,2026-08-09,leader-set-research.v2
,一般連接器,一般連接器,3322,建舜電,1.00,CANDIDATE,HIGH,MEDIUM_HIGH,NOT_USED_FOR_IDENTITY,MEDIUM,HIGH,"Joins oon official and annual-report materials identify computer, communications, consumer and medical connector/cable assemblies as core products, with durable customization and manufacturing capability.",official company product/IR; annual report or regulatory/industry source,"Joins oon official and annual-report materials identify computer, communications, consumer and medical connector/cable assemblies as core products, with durable customization and manufacturing capability.",2,https://www.jem.com.tw/en/webfiles/5071ca49-9151-446a-9375-9fc647a467d5.pdf|https://www.jem.com.tw/Investor.aspx?ID=%7B7121f158-e0ff-436c-a0f4-65a4e4d3e728%7D&Type=0,2024 annual report; current investor page,HIGH,Strong direct connector identity; automotive connector reuse is governed separately.,false,2026-08-09,leader-set-research.v2
,一般連接器,一般連接器,3484,崧騰,0.50,NEEDS_REVIEW,MEDIUM_HIGH,MEDIUM,NOT_USED_FOR_IDENTITY,MEDIUM,HIGH,"The supplied PRIMARY membership and exchange profile support a connector/electronic-component identity, but current direct product evidence was not refreshed sufficiently for promotion.",official company product/IR; annual report or regulatory/industry source,"The supplied PRIMARY membership and exchange profile support a connector/electronic-component identity, but current direct product evidence was not refreshed sufficiently for promotion.",1,https://www.twse.com.tw/pdf/en/3484_en.pdf,current TWSE company profile,MEDIUM,Keep NEEDS_REVIEW pending a current official connector catalogue or annual-report product mix.,false,2026-08-09,leader-set-research.v2
,一般連接器,一般連接器,3550,聯穎,0.75,CANDIDATE,HIGH,HIGH,NOT_USED_FOR_IDENTITY,HIGH,HIGH,"Copartner's official profile describes vertically integrated cable, connector and connectivity solutions across computing, communications, automotive, industrial and AI applications, with worldwide operations.",official company product/IR; annual report or regulatory/industry source,"Copartner's official profile describes vertically integrated cable, connector and connectivity solutions across computing, communications, automotive, industrial and AI applications, with worldwide operations.",2,https://www.copartner.com.tw/en/about/company|https://www.copartner.com.tw/tw/about/company,current English and Chinese company profiles,HIGH,Diversified cable/connectivity platform; keep below the most direct general-connector anchor.,false,2026-08-09,leader-set-research.v2
,一般連接器,一般連接器,3605,宏致,0.75,CANDIDATE,HIGH,MEDIUM_HIGH,NOT_USED_FOR_IDENTITY,HIGH,HIGH,"ACES official materials identify connector, precision electronic components and cable assemblies as core products used in industrial and consumer electronics, with a long-running connectivity platform.",official company product/IR; annual report or regulatory/industry source,"ACES official materials identify connector, precision electronic components and cable assemblies as core products used in industrial and consumer electronics, with a long-running connectivity platform.",2,https://www.acesconn.com/tw/news_detail?id=49|https://www.acesconn.com/tw/news_detail?id=52,current official news/company materials,MEDIUM_HIGH,Current product mix is broad; PM should decide whether 3605 is a general-connector leader or a supporting cross-topic name.,false,2026-08-09,leader-set-research.v2
,低軌衛星,低軌衛星,2313,華通,0.75,CANDIDATE,HIGH,HIGH,NOT_USED_FOR_IDENTITY,HIGH,HIGH,"Compeq's official annual report identifies satellite communications as a strategic product direction and names satellite, AI-server, data-center and optical-communication hard-board opportunities, supporting a durable satellite-PCB role.",official company product/IR; annual report or regulatory/industry source,"Compeq's official annual report identifies satellite communications as a strategic product direction and names satellite, AI-server, data-center and optical-communication hard-board opportunities, supporting a durable satellite-PCB role.",2,https://www.compeq.com.tw/doc/res_shareholder/79ad2ceb-03a0-11ef-a9ba-005056a9c86d/20250508_160621_cn_4.pdf|https://www.compeq.com.tw/,2025 annual report; current company site,MEDIUM_HIGH,The report establishes structural relevance but not a satellite-only revenue mix; 0.75 is provisional and should be revisited when current product-mix disclosure is available.,false,2026-08-09,leader-set-research.v2
,低軌衛星,低軌衛星,3491,昇達科,1.00,CANDIDATE,HIGH,HIGH,NOT_USED_FOR_IDENTITY,HIGH,HIGH,"UMT's official company profile identifies microwave/mmWave passive communications components and antennas as core products, with certified mass-production payload, ground-station and user-terminal products for low-earth-orbit satellite customers.",official company product/IR; annual report or regulatory/industry source,"UMT's official company profile identifies microwave/mmWave passive communications components and antennas as core products, with certified mass-production payload, ground-station and user-terminal products for low-earth-orbit satellite customers.",3,https://www.umt-tw.com/tw/about.php|https://www.umt-tw.com/tw/year_report.php|https://ic.tpex.org.tw/company_chain.php?stk_code=3491,current company profile; current annual-report portal; current TPEX value-chain profile,HIGH,UMT also serves terrestrial wireless backhaul and mobile communications; 1.00 is for its strong supplied low-earth-orbit membership and direct satellite product evidence.,true,2026-08-09,leader-set-research.v2
,低軌衛星,低軌衛星,6285,啟碁,0.75,CANDIDATE,HIGH,HIGH,NOT_USED_FOR_IDENTITY,HIGH,HIGH,"WNC's official company profile identifies satellite communications, wireless/network access and antenna/system integration as durable capabilities, including satellite products and large-scale shipment experience.",official company product/IR; annual report or regulatory/industry source,"WNC's official company profile identifies satellite communications, wireless/network access and antenna/system integration as durable capabilities, including satellite products and large-scale shipment experience.",3,https://www.wnc.com.tw/about/wnc|https://www.wnc.com.tw/investors/financial-information/annual-reports|https://www.wnc.com.tw/,current company profile; current annual-report portal; current company site,HIGH,"WNC is a diversified wireless/network equipment platform; low-earth-orbit is a meaningful but not exclusive business, so keep below the specialist 3491 tier.",false,2026-08-09,leader-set-research.v2
,住宅營建,住宅營建,2348,海悅,0.75,CANDIDATE,HIGH,MEDIUM_HIGH,NOT_USED_FOR_IDENTITY,MEDIUM_HIGH,HIGH,"Hiyes' official group materials describe a long-running building-sales and development platform, with subsidiaries conducting residential/building development and a current commercial-property project; the supplied membership supports a supporting housing-development role.",official company product/IR; annual report or regulatory/industry source,"Hiyes' official group materials describe a long-running building-sales and development platform, with subsidiaries conducting residential/building development and a current commercial-property project; the supplied membership supports a supporting housing-development role.",3,https://www.hiyesbuild.com.tw/about/|https://www.hiyes-group.com.tw/homeInvestor_04.aspx|https://www.hiyes-group.com.tw/upload/finance_report/f6699e8dbe17433990d6a3fe50ea936b.pdf,current group profile; current investor FAQ; financial report,MEDIUM_HIGH,Hiyes is historically a sales/marketing company with expanding development exposure; confirm current development materiality before final approval.,false,2026-08-09,leader-set-research.v2
,住宅營建,住宅營建,2542,興富發,0.75,CANDIDATE,HIGH,HIGH,NOT_USED_FOR_IDENTITY,HIGH,HIGH,"Highwealth's official company materials describe a large multi-city residential-development platform, broad land-development capability and repeated residential project execution; the identity is durable even though the group also develops commercial assets.",official company product/IR; annual report or regulatory/industry source,"Highwealth's official company materials describe a large multi-city residential-development platform, broad land-development capability and repeated residential project execution; the identity is durable even though the group also develops commercial assets.",3,https://www.highwealth.com.tw/about.php|https://esg.highwealth.com.tw/building/supply-chain|https://www.highwealth.com.tw/upload/stakeholder/infor/annual/105%E5%B9%B4_yearReport.pdf,current company profile; current ESG page; annual report,HIGH,Large diversified developer with urban-renewal and commercial exposure; 0.75 keeps the role below the strongest housing-focused representative.,false,2026-08-09,leader-set-research.v2
,住宅營建,住宅營建,2548,華固,1.00,CANDIDATE,HIGH,HIGH,NOT_USED_FOR_IDENTITY,HIGH,HIGH,"Huaku's official company profile and shareholder materials describe a long-running residential and commercial development platform, brand-led urban development and ongoing residential projects; housing development is a durable core identity.",official company product/IR; annual report or regulatory/industry source,"Huaku's official company profile and shareholder materials describe a long-running residential and commercial development platform, brand-led urban development and ongoing residential projects; housing development is a durable core identity.",3,https://www.huaku.com.tw/about|https://www.huaku.com.tw/files/uploads/investor_shareholder/2026_shareholder_C07.pdf|https://www.fabulousgroup.com.tw/uploads/file/20250602/20250602111223_58598.pdf,current company profile; 2026 shareholder material; 2025 company disclosure,HIGH,"Huaku spans residential, office and urban-renewal development; the proposed weight is topic-specific and should not be read as a pure residential-revenue ranking.",false,2026-08-09,leader-set-research.v2
,保護元件,保護元件,2428,興勤,1.00,CANDIDATE,HIGH,HIGH,NOT_USED_FOR_IDENTITY,HIGH,HIGH,"THINKING officially describes itself as a protective-component manufacturer with NTC/PTC thermistors, varistors, resettable fuses, TVS, ESD, gas-discharge and sensor products across automotive, communications and industrial applications.",official company product/IR; annual report or regulatory/industry source,"THINKING officially describes itself as a protective-component manufacturer with NTC/PTC thermistors, varistors, resettable fuses, TVS, ESD, gas-discharge and sensor products across automotive, communications and industrial applications.",3,https://www.thinking.com.tw/about.php|https://www.thinking.com.tw/search_list2.php|https://www.thinking.com.tw/upload/investor/files/115%E5%B9%B4%E8%AD%B0%E4%BA%8B%E6%89%8B%E5%86%8A_%E8%8B%B1%E6%96%87.pdf,current company profile; current product search; 2026 shareholder handbook,HIGH,Direct specialist identity and durable product breadth; no price-action evidence used.,false,2026-08-09,leader-set-research.v2
,保護元件,保護元件,2478,大毅,0.50,NEEDS_REVIEW,MEDIUM,LOW,NOT_USED_FOR_IDENTITY,MEDIUM,MEDIUM,"The supplied PRIMARY classification includes 2478, but a current direct protection-component product/annual-report source was not established in this pass.",official company product/IR; annual report or regulatory/industry source,"The supplied PRIMARY classification includes 2478, but a current direct protection-component product/annual-report source was not established in this pass.",1,https://www.twse.com.tw/pdf/en/2478_en.pdf,current TWSE company profile,LOW,Do not promote until direct product evidence confirms protection-component materiality.,false,2026-08-09,leader-set-research.v2
,保護元件,保護元件,6642,富致,0.75,CANDIDATE,HIGH,MEDIUM_HIGH,NOT_USED_FOR_IDENTITY,MEDIUM,HIGH,"Public company and government/SME materials identify Fuzetec as a protection-component provider, including semiconductor overvoltage protection components and automotive-related applications.",official company product/IR; annual report or regulatory/industry source,"Public company and government/SME materials identify Fuzetec as a protection-component provider, including semiconductor overvoltage protection components and automotive-related applications.",3,https://www.fuzetec.com/|https://www.fuzetec.com/filemanager/files/1/2024%E5%B9%B4%E7%AC%AC%E5%9B%9B%E5%AD%A3%E5%80%8B%E9%AB%94%E8%B2%A1%E5%8B%99%E5%A0%B1%E5%91%8A.pdf|https://www.sme.gov.tw/award/files/16689/B42C6E11-1465-48CA-930F-7B54A0F1CE0E,current company site; 2024 financial report; current government/SME profile,MEDIUM_HIGH,Direct structural fit but smaller scale and less broad product evidence than 2428.,false,2026-08-09,leader-set-research.v2
,保護元件,保護元件,7788,松川精密,0.50,NEEDS_REVIEW,LOW,LOW,NOT_USED_FOR_IDENTITY,MEDIUM,MEDIUM,松川精密's official exchange profile emphasizes relays and electromechanical products rather than classic protective components; the supplied membership is retained as a flagged classification candidate.,official company product/IR; annual report or regulatory/industry source,松川精密's official exchange profile emphasizes relays and electromechanical products rather than classic protective components; the supplied membership is retained as a flagged classification candidate.,2,https://wwwc.twse.com.tw/market_insights/zh/detail/8a8216d6993bf1510199a7f960ce01c9|https://www.twse.com.tw/pdf/en/7788_en.pdf,current TWSE market-insights profile; current TWSE company profile,LOW,Likely classification debt between relays and protection components; keep NEEDS_REVIEW.,true,2026-08-09,leader-set-research.v2
,儲能,儲能,3576,聯合再生,0.75,CANDIDATE,HIGH,HIGH,NOT_USED_FOR_IDENTITY,MEDIUM_HIGH,HIGH,"URE's official investor and product disclosures identify solar-plus-storage systems, industrial and residential ESS, UPS and grid applications; its 2026 release also identifies an industrial-storage container with UL 9540 certification.",official company product/IR; annual report or regulatory/industry source,"URE's official investor and product disclosures identify solar-plus-storage systems, industrial and residential ESS, UPS and grid applications; its 2026 release also identifies an industrial-storage container with UL 9540 certification.",4,https://www.urecorp.com/investors/abouture/66/|https://www.urecorp.com/en/investors_detail/315/|https://www.urecorp.com/news_detail/news20260708/|https://www.urecorp.com/investors_detail/171/,current company profile; 2019 ESS release; 2026-07-08 product/market release; 2022-09-21 project release,HIGH,Solar modules remain a major core business and storage evidence spans several years; use 0.75 until current storage revenue/materiality is confirmed.,false,2026-08-09,leader-set-research.v2
,儲能,儲能,3617,碩天,0.75,CANDIDATE,HIGH,HIGH,NOT_USED_FOR_IDENTITY,HIGH,HIGH,"CyberPower's official investor profile identifies TWSE 3617 as a global power-management provider with UPS, racks, PDUs, inverters, solar-energy systems and power-management software, supporting a durable backup/storage-adjacent role.",official company product/IR; annual report or regulatory/industry source,"CyberPower's official investor profile identifies TWSE 3617 as a global power-management provider with UPS, racks, PDUs, inverters, solar-energy systems and power-management software, supporting a durable backup/storage-adjacent role.",2,https://www.cyberpower.com/tw/en/investor/overview|https://www.cyberpower.com/tw/zh/investor/overview,current English investor profile; current Chinese investor profile,HIGH,The company is primarily a UPS/power-management provider rather than a grid-scale battery integrator; keep at 0.75 and avoid equating UPS with standalone ESS without PM approval.,false,2026-08-09,leader-set-research.v2
,先進封裝設備,先進封裝設備,3131,弘塑,1.00,CANDIDATE,HIGH,HIGH,NOT_USED_FOR_IDENTITY,HIGH,HIGH,"Grand Process officially positions itself as a semiconductor wet-process equipment leader; its product and application pages explicitly cover advanced packaging, bumping, 2.5D/3D, HBM and panel-level packaging processes.",official company product/IR; annual report or regulatory/industry source,"Grand Process officially positions itself as a semiconductor wet-process equipment leader; its product and application pages explicitly cover advanced packaging, bumping, 2.5D/3D, HBM and panel-level packaging processes.",3,https://www.gptc.com.tw/cn/|https://www.gptc.com.tw/about/esg/|https://www.gptc.com.tw/news-detail/584/,current product page; current company page; 2026-01-27 advanced-packaging collaboration release,HIGH,"The company serves front-end, compound-semiconductor and memory customers as well; the proposed weight is specific to the supplied advanced-packaging-equipment membership.",true,2026-08-09,leader-set-research.v2
,先進封裝設備,先進封裝設備,3583,辛耘,0.75,CANDIDATE,HIGH,MEDIUM_HIGH,NOT_USED_FOR_IDENTITY,MEDIUM_HIGH,HIGH,"Scientech's official product pages describe batch and single-wafer wet-process equipment, including tools used in 2.5D/3D IC, advanced packaging and bumping applications; the equipment identity is durable.",official company product/IR; annual report or regulatory/industry source,"Scientech's official product pages describe batch and single-wafer wet-process equipment, including tools used in 2.5D/3D IC, advanced packaging and bumping applications; the equipment identity is durable.",2,https://www.scientech.com.tw/zh-hant/Products/Scientech/WetProcessAndBakingSystem|https://expo.semi.org/taiwan2023/Public/eBooth.aspx?BoothID=546446&SSID=10591&Task=PressReleases,current product page; 2023-09 SEMICON exhibitor profile,MEDIUM_HIGH,"Current direct product evidence is strong, but the most explicit advanced-packaging application detail comes from an industry exhibitor profile; retain 0.75 pending latest annual-report mix.",false,2026-08-09,leader-set-research.v2
,先進封裝設備,先進封裝設備,6187,萬潤,0.75,CANDIDATE,HIGH,MEDIUM_HIGH,NOT_USED_FOR_IDENTITY,MEDIUM_HIGH,HIGH,"All Ring's official company page describes automated process equipment and high-reliability solutions for advanced packaging and optoelectronic integration, with global service support.",official company product/IR; annual report or regulatory/industry source,"All Ring's official company page describes automated process equipment and high-reliability solutions for advanced packaging and optoelectronic integration, with global service support.",2,https://www.allring-tech.com.tw/about1.htm|https://www.allring-tech.co.jp/,current company page; current group page,MEDIUM_HIGH,The public pages are product-focused and do not quantify current advanced-packaging revenue; keep below the strongest wet-process and packaging-equipment representatives.,false,2026-08-09,leader-set-research.v2
,先進封裝設備,先進封裝設備,6640,均華,0.75,CANDIDATE,HIGH,HIGH,NOT_USED_FOR_IDENTITY,MEDIUM_HIGH,HIGH,"GMM's official company page and annual-report material identify semiconductor process equipment and precision molds as its core business, including die pick/place, die bonding, molding, singulation and inspection equipment for advanced packaging.",official company product/IR; annual report or regulatory/industry source,"GMM's official company page and annual-report material identify semiconductor process equipment and precision molds as its core business, including die pick/place, die bonding, molding, singulation and inspection equipment for advanced packaging.",2,https://www.gmmcorp.com.tw/?page_id=579|https://www.gmmcorp.com.tw/upload-files/investor-zone/shareholder-area/2023/2023-annual-report.pdf,current company page; 2023 annual report,HIGH,The latest annual-report source should be refreshed before approval; 0.75 reflects clear structural fit without assuming top-tier scale.,false,2026-08-09,leader-set-research.v2
,光通訊,光通訊,3081,聯亞,0.75,CANDIDATE,HIGH,MEDIUM_HIGH,NOT_USED_FOR_IDENTITY,MEDIUM_HIGH,HIGH,LandMark Optoelectronics officially describes III-V GaAs/InP epitaxial-wafer production; its annual-report material links the business to next-generation high-speed optical transmission products.,official company product/IR; annual report or regulatory/industry source,LandMark Optoelectronics officially describes III-V GaAs/InP epitaxial-wafer production; its annual-report material links the business to next-generation high-speed optical transmission products.,2,https://www.lmoc.com.tw/|https://www.lmoc.com.tw/index.php?i=1&id=181&lang=chs&option=module&task=dfile,undated current company page; 2022 annual report,MEDIUM_HIGH,Upstream epitaxy rather than finished transceiver; 0.75 reflects important supply-chain influence but not a top end-product representative.,false,2026-08-09,leader-set-research.v2
,光通訊,光通訊,3363,上詮,1.00,CANDIDATE,HIGH,HIGH,NOT_USED_FOR_IDENTITY,MEDIUM_HIGH,HIGH,"FOCI's official site centers on active/passive optical products, coherent communications, silicon-photonics passive components and optical-communication applications.",official company product/IR; annual report or regulatory/industry source,"FOCI's official site centers on active/passive optical products, coherent communications, silicon-photonics passive components and optical-communication applications.",2,https://www.foci.com.tw/zh-tw/|https://www.tpex.org.tw/event/web/supervise_11411/1.3363上詮.pdf,undated current company page; 2025 supervisory document,HIGH,Strong optical-component fit; silicon-photonics identity is explicit on the official site but should remain separate from broad optical communications.,false,2026-08-09,leader-set-research.v2
,光通訊,光通訊,4979,華星光,0.75,CANDIDATE,HIGH,HIGH,NOT_USED_FOR_IDENTITY,MEDIUM_HIGH,HIGH,"Luxnet's official site identifies optical-engine, module and sub-assembly manufacturing services and optical products for data/telecom applications.",official company product/IR; annual report or regulatory/industry source,"Luxnet's official site identifies optical-engine, module and sub-assembly manufacturing services and optical products for data/telecom applications.",2,https://www.luxnetcorp.com.tw/|https://www.luxnetcorp.com.tw/storage/architecture/page~103/page~123/101.pdf,undated current company page; 2012 annual-report disclosure,HIGH,"Older filing evidence needs refresh, but the current company page confirms the durable optical-manufacturing identity.",false,2026-08-09,leader-set-research.v2
,其他 AI伺服器供應鏈,其他 AI伺服器供應鏈,2059,川湖,1.00,CANDIDATE,HIGH,HIGH,NOT_USED_FOR_IDENTITY,HIGH,HIGH,"King Slide's official company history and current server-rail product pages identify server rail kits and related mechanical solutions as a long-standing core business serving cloud/data-center equipment, with durable IT-sector design and manufacturing capability.",official company product/IR; annual report or regulatory/industry source,"King Slide's official company history and current server-rail product pages identify server rail kits and related mechanical solutions as a long-standing core business serving cloud/data-center equipment, with durable IT-sector design and manufacturing capability.",3,https://www.kingslide.com/about_intro/|https://www.kingslide.com/products_cloud?___from_store=default&___store=default|https://www.kingslide.com/media/wysiwyg/company/investor/document/205920250508E001.pdf,current company profile; current cloud/server product page; 2024 investor presentation,HIGH,Direct server-supply-chain anchor; the broad residual topic should not be allowed to duplicate 2059's more precise server-rail identity elsewhere without PM governance.,false,2026-08-09,leader-set-research.v2
